,City,Country,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
271,Ponta do Sol,BR,-20.63,65.06,90,56,3.15
272,Vila Franca do Campo,PT,37.72,54.37,62,75,11.41
273,Tupik,RU,54.43,31.4,59,68,4.16
274,Baykit,RU,61.68,26.27,73,76,5.39
275,Wanning,AT,48.64,44.53,81,75,8.05
276,Ushuaia,AR,-54.81,37.4,100,75,12.75
277,Calimete,CU,22.53,71.6,94,32,3.36
278,Thompson,CA,55.74,8.6,92,5,5.82
279,Atuona,PF,-9.8,83.33,96,92,15.68
280,Hay River,CA,60.82,3.2,71,20,2.93
281,San Cristobal,EC,-0.39,51.6,93,75,2.24
282,Vila Franca do Campo,PT,37.72,54.37,62,75,11.41
283,Qaanaaq,GL,77.48,0.44,71,24,7.63
284,Isangel,VU,-19.55,75.14,100,92,9.42
285,Vilhena,BR,-12.74,72.08,94,80,2.93
286,Rikitea,PF,-23.12,76.22,100,32,16.69
287,Mataura,NZ,-46.19,46.0,77,8,4.72
288,Busselton,AU,-33.64,70.3,24,0,7.96
289,Mataura,NZ,-46.19,46.0,77,8,4.72
290,Jamestown,AU,-33.21,81.98,23,56,13.67
291,College Place,US,46.05,49.66,81,40,5.82
292,Port Hardy,CA,50.7,50.0,71,90,17.22
293,Hualmay,PE,-11.1,62.09,94,36,1.59
294,East London,ZA,-33.02,60.8,100,90,11.41
295,Puerto Ayora,EC,-0.74,76.76,100,48,4.94
296,Srednekolymsk,RU,67.46,18.8,83,12,3.94
297,Mataura,NZ,-46.19,46.0,77,8,4.72
298,Qaanaaq,GL,77.48,0.44,71,24,7.63
299,Tuktoyaktuk,CA,69.44,1.61,90,36,3.94
300,Atuona,PF,-9.8,83.33,96,92,15.68
301,Sola,NO,58.89,54.52,50,0,12.75
302,Atuona,PF,-9.8,83.33,96,92,15.68
303,Yerbogachen,RU,61.28,29.15,66,88,5.28
304,Castro,CL,-42.48,44.6,100,90,3.36
305,Wanning,AT,48.64,44.53,81,75,8.05
306,Khandbari,NP,27.38,42.92,71,24,0.25
307,Qianguo,CN,45.12,44.99,48,0,12.44
308,Mataura,NZ,-46.19,46.0,77,8,4.72
309,Puerto Ayora,EC,-0.74,76.76,100,48,4.94
310,Cape Town,ZA,-33.93,63.52,63,20,16.11
311,Rikitea,PF,-23.12,76.22,100,32,16.69
312,Buchanan,LR,5.88,78.38,100,64,5.61
313,Hvide Sande,DK,56.01,45.66,87,8,5.82
314,Kapaa,US,22.08,68.36,73,40,6.29
315,Klaksvik,FO,62.23,44.6,70,12,9.17
316,Pontes e Lacerda,BR,-15.23,72.98,91,36,4.05
317,Albany,US,42.65,26.49,42,40,2.26
318,San Rafael,AR,-34.61,42.02,57,0,3.83
319,Rikitea,PF,-23.12,76.22,100,32,16.69
320,Punta Arenas,CL,-53.16,48.09,76,75,20.8
321,Pevek,RU,69.7,8.9,85,48,2.59
322,Digby,CA,44.62,28.96,62,0,21.0
323,Bluff,AU,-23.58,80.45,41,44,10.65
324,Jamestown,AU,-33.21,81.98,23,56,13.67
325,Rikitea,PF,-23.12,76.22,100,32,16.69
326,Adrar,DZ,27.87,60.8,77,0,9.17
327,Hermanus,ZA,-34.42,62.78,86,0,4.38
328,Rio Gallegos,AR,-51.62,46.4,70,90,17.22
329,Ribas do Rio Pardo,BR,-20.45,72.53,90,0,8.19
330,Vaini,IN,15.34,95.93,32,0,6.4
331,Ostrovnoy,RU,68.05,29.33,96,20,6.96
332,Kapaa,US,22.08,68.36,73,40,6.29
333,Mashpee,US,41.65,32.54,39,1,4.7
334,Avarua,CK,-21.21,71.6,88,68,2.24
335,Nanortalik,GL,60.14,30.86,92,92,46.44
336,Jamestown,AU,-33.21,81.98,23,56,13.67
337,Saint-Philippe,CA,45.36,22.55,53,1,4.7
338,Cape Town,ZA,-33.93,63.52,63,20,16.11
339,Mar del Plata,AR,-46.43,53.27,68,24,17.36
340,Nome,US,30.04,69.39,94,90,3.36
341,Ushuaia,AR,-54.81,37.4,100,75,12.75
342,Souillac,FR,45.6,46.65,56,0,11.41
343,Cidreira,BR,-30.17,71.45,98,100,13.78
344,Hasaki,JP,35.73,66.85,34,20,26.4
345,Port Elizabeth,US,39.31,46.98,42,75,11.41
346,Puerto Ayora,EC,-0.74,76.76,100,48,4.94
347,Hobart,AU,-42.88,65.64,55,75,10.29
348,Thap Than,TH,15.46,92.51,49,12,4.16
349,Klaksvik,FO,62.23,44.6,70,12,9.17
350,Leningradskiy,RU,69.38,1.7,69,0,3.6
351,Buala,SB,-8.15,84.23,84,92,6.96
352,Kapaa,US,22.08,68.36,73,40,6.29
353,Albany,US,42.65,26.49,42,40,2.26
354,Derzhavinsk,KZ,51.1,49.04,97,32,9.42
355,Vaini,IN,15.34,95.93,32,0,6.4
356,Cherskiy,RU,68.75,7.64,68,32,3.15
357,Punta Arenas,CL,-53.16,48.09,76,75,20.8
358,Qaanaaq,GL,77.48,0.44,71,24,7.63
359,Rocha,UY,-34.48,59.84,89,44,15.79
360,Georgetown,GY,6.8,77.39,73,24,6.17
361,Punta Arenas,CL,-53.16,48.09,76,75,20.8
362,Rikitea,PF,-23.12,76.22,100,32,16.69
363,Port Blair,IN,11.67,85.58,100,8,3.15
364,Shu,KZ,43.6,71.9,29,80,13.0
365,Tazovskiy,RU,67.47,32.48,95,88,16.24
366,Butaritari,KI,3.07,84.41,98,92,13.78
367,Chokurdakh,RU,70.62,11.24,77,24,2.71
368,Provideniya,RU,64.42,20.87,96,0,17.36
369,Aljezur,PT,37.31,49.01,88,20,21.5
370,Vaini,IN,15.34,95.93,32,0,6.4
371,Weinfelden,CH,47.57,37.62,86,90,2.24
372,Barrow,AR,-38.31,51.92,74,0,8.3
373,Severo-Kurilsk,RU,50.68,33.02,96,92,9.86
374,Koson,UZ,39.04,78.8,47,0,9.17
375,Voh,NC,-20.95,79.82,95,0,18.48
376,Thompson,CA,55.74,8.6,92,5,5.82
377,Puerto Ayora,EC,-0.74,76.76,100,48,4.94
378,Punta Arenas,CL,-53.16,48.09,76,75,20.8
379,Fortuna,ES,38.18,55.17,81,0,1.12
380,Punta Arenas,CL,-53.16,48.09,76,75,20.8
381,Bredasdorp,ZA,-34.53,60.33,87,68,3.36
382,Punta Arenas,CL,-53.16,48.09,76,75,20.8
383,Opuwo,NA,-18.06,84.77,33,0,3.38
384,Mar del Plata,AR,-46.43,53.27,68,24,17.36
385,Thompson,CA,55.74,8.6,92,5,5.82
386,Nikolskoye,RU,59.7,47.97,45,0,4.47
387,Rikitea,PF,-23.12,76.22,100,32,16.69
388,Iwanai,JP,42.97,38.24,100,88,23.06
389,Mandalgovi,MN,45.76,50.03,63,88,7.4
390,Chunhuhub,MX,19.59,75.59,80,0,4.5
391,Concordia,AR,-31.4,60.01,75,12,8.01
392,Rikitea,PF,-23.12,76.22,100,32,16.69
393,Cape Town,ZA,-33.93,63.52,63,20,16.11
394,Kruisfontein,ZA,-34.0,61.46,92,44,5.39
395,Mataura,NZ,-46.19,46.0,77,8,4.72
396,Nigde,TR,37.97,50.21,63,32,3.27
397,Yellowknife,CA,62.45,1.47,70,5,8.05
398,Rikitea,PF,-23.12,76.22,100,32,16.69
399,Esperance,TT,10.24,74.79,83,20,6.29
400,Tiksi,RU,71.64,30.14,68,8,3.15
401,Victoria,BN,5.28,87.44,70,75,5.82
402,Cape Town,ZA,-33.93,63.52,63,20,16.11
403,Albany,US,42.65,26.49,42,40,2.26
404,Talnakh,RU,69.49,22.22,89,64,15.57
405,Quba,AZ,41.36,53.27,89,8,4.27
406,Kodiak,US,39.95,45.18,93,40,5.82
407,Qaanaaq,GL,77.48,0.44,71,24,7.63
408,Salalah,OM,17.01,86.0,62,40,6.93
409,Saint-Philippe,CA,45.36,22.55,53,1,4.7
410,Ponta do Sol,BR,-20.63,65.06,90,56,3.15
411,Port-Gentil,GA,-0.72,75.2,94,20,5.82
412,Kapaa,US,22.08,68.36,73,40,6.29
413,Suntar,RU,62.16,39.95,44,36,2.37
414,Avarua,CK,-21.21,71.6,88,68,2.24
415,Rikitea,PF,-23.12,76.22,100,32,16.69
416,Pangnirtung,CA,66.15,12.2,72,90,14.99
417,Hermanus,ZA,-34.42,62.78,86,0,4.38
418,Hasaki,JP,35.73,66.85,34,20,26.4
419,Punta Arenas,CL,-53.16,48.09,76,75,20.8
420,Port Alfred,ZA,-33.59,62.01,96,88,1.01
421,Akdepe,TM,42.05,54.48,54,0,11.41
422,Hilo,US,19.71,68.77,78,90,3.36
423,Port Augusta,AU,-32.49,92.5,14,44,18.34
424,Punta Arenas,CL,-53.16,48.09,76,75,20.8
425,Punta Arenas,CL,-53.16,48.09,76,75,20.8
426,Bulgan,MN,48.81,34.28,48,24,6.29
427,Albany,US,42.65,26.49,42,40,2.26
428,Hermanus,ZA,-34.42,62.78,86,0,4.38
429,Busselton,AU,-33.64,70.3,24,0,7.96
430,Talnakh,RU,69.49,22.22,89,64,15.57
431,Blythe,US,33.61,65.16,48,1,8.05
432,Amazar,RU,53.86,32.48,50,80,4.5
433,Thompson,CA,55.74,8.6,92,5,5.82
434,Barrow,AR,-38.31,51.92,74,0,8.3
435,Wangaratta,AU,-36.36,76.69,36,40,12.75
436,Cherskiy,RU,68.75,7.64,68,32,3.15
437,Puerto Ayora,EC,-0.74,76.76,100,48,4.94
438,Hermanus,ZA,-34.42,62.78,86,0,4.38
439,Dikson,RU,73.51,20.24,100,44,8.86
440,Mangulile,HN,15.04,61.82,95,36,1.59
441,Sri Aman,MY,1.24,93.2,59,75,3.36
442,Bethel,US,60.79,27.95,68,1,16.11
443,Punta Arenas,CL,-53.16,48.09,76,75,20.8
444,Atuona,PF,-9.8,83.33,96,92,15.68
445,Hilo,US,19.71,68.77,78,90,3.36
446,Bluff,AU,-23.58,80.45,41,44,10.65
447,Ilulissat,GL,69.22,26.6,45,20,19.46
448,Ushuaia,AR,-54.81,37.4,100,75,12.75
449,Kapaa,US,22.08,68.36,73,40,6.29
450,Punta Arenas,CL,-53.16,48.09,76,75,20.8
451,Cabo San Lucas,MX,22.89,66.27,92,32,5.01
452,Llangefni,GB,53.26,42.04,75,88,10.29
453,Koutiala,ML,12.39,89.36,30,12,10.87
454,Albany,US,42.65,26.49,42,40,2.26
455,Butaritari,KI,3.07,84.41,98,92,13.78
456,Kodiak,US,39.95,45.18,93,40,5.82
457,Rikitea,PF,-23.12,76.22,100,32,16.69
458,Atuona,PF,-9.8,83.33,96,92,15.68
459,Antalaha,MG,-14.9,84.32,85,48,7.52
460,Hobart,AU,-42.88,65.64,55,75,10.29
461,Quatre Cocos,MU,-20.21,84.61,74,75,11.41
462,Jalu,LY,29.03,76.22,41,80,10.2
463,Mar del Plata,AR,-46.43,53.27,68,24,17.36
464,Kodinsk,RU,58.6,36.08,57,88,7.74
465,Roald,NO,62.58,40.98,81,0,5.82
466,Ouango,CD,4.31,88.46,64,0,3.15
467,Ventspils,LV,57.39,44.6,52,0,4.7
468,Ushuaia,AR,-54.81,37.4,100,75,12.75
469,Saint-Louis,CH,47.59,36.7,93,75,4.7
470,Ixtapa,MX,20.71,73.69,88,75,1.92
471,Cape Town,ZA,-33.93,63.52,63,20,16.11
472,San Cristobal,EC,-0.39,51.6,93,75,2.24
473,East London,ZA,-33.02,60.8,100,90,11.41
474,Bluff,AU,-23.58,80.45,41,44,10.65
475,Vaini,IN,15.34,95.93,32,0,6.4
476,Portland,US,45.52,49.77,87,90,11.41
477,Bethel,US,60.79,27.95,68,1,16.11
478,Hermanus,ZA,-34.42,62.78,86,0,4.38
479,Wamba,CD,2.14,87.11,68,0,3.04
480,Port Elizabeth,US,39.31,46.98,42,75,11.41
481,Norden,DE,53.59,42.91,93,90,3.36
482,Sao Filipe,CV,14.9,70.28,97,12,16.58
483,Ushuaia,AR,-54.81,37.4,100,75,12.75
484,Airai,TL,-8.93,80.09,56,20,2.59
485,Punta Arenas,CL,-53.16,48.09,76,75,20.8
486,Pangkalanbuun,ID,-2.68,83.96,90,48,1.7
487,Hambantota,LK,6.12,91.4,59,75,8.05
488,Rikitea,PF,-23.12,76.22,100,32,16.69
489,Narsaq,GL,60.91,35.6,34,88,51.67
490,Okha,RU,53.59,29.69,89,0,13.89
491,Lompoc,US,34.64,49.17,87,90,3.83
492,Ostrovnoy,RU,68.05,29.33,96,20,6.96
493,Geraldton,CA,49.72,26.6,68,75,12.75
494,Mataura,NZ,-46.19,46.0,77,8,4.72
495,Ushuaia,AR,-54.81,37.4,100,75,12.75
496,Castro,CL,-42.48,44.6,100,90,3.36
497,Vaini,IN,15.34,95.93,32,0,6.4
498,George,NG,6.63,77.0,94,20,3.36
499,Albany,US,42.65,26.49,42,40,2.26
